calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
context_adaptive,974779.5025592321,108932.92932660552,0.0,real,57170.52608512,6392.124106161646,1.0,gate_ships_resnet50_distill,0.8204414973006521,0.8083919804370673,0.47457791510982383,0.7856143705237404,0.7388889929913135,0.6621176504452828,0.5126016344064042,0.3060451324423035,0.09943833128186223,0.012153165195450495,8.639607416239006e-05,5297,1,5297,0.0,1031950.0286443521,115325.05343276716
context_adaptive,974779.5025592321,108932.92932660552,0.0,real,57170.52608512,6392.124106161646,1.0,gate_ships_resnet50_distill,0.8204414973006521,0.8083919804370673,0.47457791510982383,0.7856143705237404,0.7388889929913135,0.6621176504452828,0.5126016344064042,0.3060451324423035,0.09943833128186223,0.012153165195450495,8.639607416239006e-05,5297,1,5297,0.05,1031950.0286443521,115325.05343276716
context_adaptive,974779.5025592321,108932.92932660552,0.0,real,57170.52608512,6392.124106161646,1.0,gate_ships_resnet50_distill,0.8204414973006521,0.8083919804370673,0.47457791510982383,0.7856143705237404,0.7388889929913135,0.6621176504452828,0.5126016344064042,0.3060451324423035,0.09943833128186223,0.012153165195450495,8.639607416239006e-05,5297,1,5297,0.1,1031950.0286443521,115325.05343276716
context_adaptive,974779.5025592321,108932.92932660552,0.0,real,57170.52608512,6392.124106161646,1.0,gate_ships_resnet50_distill,0.8204414973006521,0.8083919804370673,0.47457791510982383,0.7856143705237404,0.7388889929913135,0.6621176504452828,0.5126016344064042,0.3060451324423035,0.09943833128186223,0.012153165195450495,8.639607416239006e-05,5297,1,5297,0.15000000000000002,1031950.0286443521,115325.05343276716
context_adaptive,974779.5025592321,108932.92932660552,0.0,real,57170.52608512,6392.124106161646,1.0,gate_ships_resnet50_distill,0.8204414973006521,0.8083919804370673,0.47457791510982383,0.7856143705237404,0.7388889929913135,0.6621176504452828,0.5126016344064042,0.3060451324423035,0.09943833128186223,0.012153165195450495,8.639607416239006e-05,5297,1,5297,0.2,1031950.0286443521,115325.05343276716
context_adaptive,974779.5025592321,108932.92932660552,0.0,real,57170.52608512,6392.124106161646,1.0,gate_ships_resnet50_distill,0.8204414973006521,0.8083919804370673,0.47457791510982383,0.7856143705237404,0.7388889929913135,0.6621176504452828,0.5126016344064042,0.3060451324423035,0.09943833128186223,0.012153165195450495,8.639607416239006e-05,5297,1,5297,0.25,1031950.0286443521,115325.05343276716
context_adaptive,974779.5025592321,108932.92932660552,0.0,real,57170.52608512,6392.124106161646,1.0,gate_ships_resnet50_distill,0.8204414973006521,0.8083919804370673,0.47457791510982383,0.7856143705237404,0.7388889929913135,0.6621176504452828,0.5126016344064042,0.3060451324423035,0.09943833128186223,0.012153165195450495,8.639607416239006e-05,5297,1,5297,0.30000000000000004,1031950.0286443521,115325.05343276716
context_adaptive,974779.5025592321,108932.92932660552,0.0,real,57170.52608512,6392.124106161646,1.0,gate_ships_resnet50_distill,0.8204414973006521,0.8083919804370673,0.47457791510982383,0.7856143705237404,0.7388889929913135,0.6621176504452828,0.5126016344064042,0.3060451324423035,0.09943833128186223,0.012153165195450495,8.639607416239006e-05,5297,1,5297,0.35000000000000003,1031950.0286443521,115325.05343276716
context_adaptive,974779.5025592321,108932.92932660552,0.0,real,57170.52608512,6392.124106161646,1.0,gate_ships_resnet50_distill,0.8204414973006521,0.8083919804370673,0.47457791510982383,0.7856143705237404,0.7388889929913135,0.6621176504452828,0.5126016344064042,0.3060451324423035,0.09943833128186223,0.012153165195450495,8.639607416239006e-05,5297,1,5297,0.4,1031950.0286443521,115325.05343276716
context_adaptive,974779.5025592321,108932.92932660552,0.0,real,57170.52608512,6392.124106161646,1.0,gate_ships_resnet50_distill,0.8204414973006521,0.8083919804370673,0.47457791510982383,0.7856143705237404,0.7388889929913135,0.6621176504452828,0.5126016344064042,0.3060451324423035,0.09943833128186223,0.012153165195450495,8.639607416239006e-05,5297,1,5297,0.45,1031950.0286443521,115325.05343276716
